대원제약(주)	NNG
대원화성(주)	NNG
대창단조(주)	NNG
대한방직(주)	NNG
대한유화(주)	NNG
대한제강(주)	NNG
동아쏘시오홀딩스(주)	NNG
대한제당(주)	NNG
대한제분(주)	NNG
대한해운(주)	NNG
대한화섬(주)	NNG
덕양산업(주)	NNG
동국홀딩스(주)	NNG
동부건설(주)	NNG
동성제약(주)	NNG
에스케이(주)	NNG
에스케이네트웍스(주)	NNG
CS홀딩스(주)	NNG
피아이첨단소재(주)	NNG
하이트진로(주)	NNG
하이트진로홀딩스(주)	NNG
한국가스공사(주)	NNG
한국공항(주)	NNG
한국내화(주)	NNG
한국단자공업(주)	NNG
한국무브넥스(주)	NNG
한국석유공업(주)	NNG
한국수출포장공업(주)	NNG
한국쉘석유(주)	NNG
한국앤컴퍼니(주)	NNG
한국유나이티드제약(주)	NNG
한국전력공사(주)	NNG
한국전력기술(주)	NNG
한국주강(주)	NNG
한국주철관공업(주)	NNG
한국지역난방공사	NNG
한국철강(주)	NNG
한국콜마홀딩스(주)	NNG
하나제약(주)	NNG
포스코홀딩스(주)	NNG
코오롱인더스트리(주)	NNG
포스코스틸리온(주)	NNG
코웨이(주)	NNG
쿠쿠홀딩스(주)	NNG
태경산업(주)	NNG
태경케미컬(주)	NNG
태광산업(주)	NNG
태림포장(주)	NNG
태양금속공업(주)	NNG
태원물산(주)	NNG
태평양물산(주)	NNG
텔코웨어(주)	NNG
티와이엠(주)	NNG
티케이지휴켐스(주)	NNG
파미셀(주)	NNG
팜젠사이언스(주)	NNG
팬오션(주)	NNG
퍼스텍(주)	NNG
페이퍼코리아(주)	NNG
평화산업(주)	NNG
평화홀딩스(주)	NNG
한국항공우주산업(주)	NNG
한국화장품(주)	NNG
한미반도체(주)	NNG
한미사이언스(주)	NNG
해태제과식품(주)	NNG
핸즈코퍼레이션(주)	NNG
현대건설(주)	NNG
현대글로비스(주)	NNG
현대로템(주)	NNG
현대모비스(주)	NNG
현대비앤지스틸(주)	NNG
현대엘리베이터(주)	NNG
현대오토에버(주)	NNG
현대위아(주)	NNG
현대자동차(주)	NNG
현대제철(주)	NNG
현대코퍼레이션(주)	NNG
호전실업(주)	NNG
화성산업(주)	NNG
화천기계(주)	NNG
화천기공(주)	NNG
환인제약(주)	NNG
효성아이티엑스(주)	NNG
한화오션(주)	NNG
한화에어로스페이스(주)	NNG
한화시스템(주)	NNG
한솔홀딩스(주) 	NNG
한미약품(주)	NNG
한성기업(주)	NNG
한세실업(주)	NNG
한세엠케이(주)	NNG
한세예스24홀딩스(주)	NNG
한솔로지스틱스(주)	NNG
한솔테크닉스(주)	NNG
한솔피엔에스(주)	NNG
한신공영(주)	NNG
한화솔루션(주)	NNG
한신기계공업(주)	NNG
한온시스템(주)	NNG
한올바이오파마(주)	NNG
한일철강(주)	NNG
한일현대시멘트(주)	NNG
한일홀딩스(주)	NNG
한전산업개발(주)	NNG
한전케이피에스(주)	NNG
코오롱플라스틱(주)	NNG
코오롱글로벌(주)	NNG
에스케이디스커버리(주)	NNG
엔피씨(주)	NNG
엘아이지넥스원(주)	NNG
엘지디스플레이(주)	NNG
엘지전자(주)	NNG
영보화학(주)	NNG
영진약품(주)	NNG
영풍제지(주)	NNG
영화금속(주)	NNG
오씨아이홀딩스(주)	NNG
웰바이오텍(주)	NNG
유니온머티리얼(주)	NNG
유니퀘스트(주)	NNG
유성기업(주)	NNG
유엔젤(주)	NNG
율촌화학(주)	NNG
이건산업(주)	NNG
이구산업(주)	NNG
이연제약(주)	NNG
이화산업(주)	NNG
인지컨트롤스(주)	NNG
엘브이엠씨홀딩스(주)	NNG
에이케이홀딩스(주)	NNG
코스모화학(주)	NNG
에이치엠엠(주)	NNG
에스케이디앤디(주)	NNG
에스케이렌터카(주)	NNG
에스케이바이오팜(주)	NNG
에스케이씨(주)	NNG
에스케이오션플랜트(주)	NNG
에스케이텔레콤(주)	NNG
에스케이하이닉스(주)	NNG
에쓰-오일(주)	NNG
에쓰씨엔지니어링(주)	NNG
에어부산(주)	NNG
에이치디씨(주)	NNG
에이치디씨랩스(주)	NNG
에이치디씨현대이피(주)	NNG
에이치디한국조선해양(주)	NNG
에이치디현대인프라코어(주)	NNG
에이치에스디엔진(주)	NNG
에이치엘디앤아이한라(주)	NNG
에이치엘비글로벌(주)	NNG
에이치엘홀딩스(주)	NNG
인천도시가스(주)	NNG
인터지스(주)	NNG
일동홀딩스(주)	NNG
일성건설(주)	NNG
지에스건설(주)	NNG
지엠비코리아(주)	NNG
진양산업(주)	NNG
진양폴리우레탄(주)	NNG
진양화학(주)	NNG
진원생명과학(주)	NNG
진흥기업(주)	NNG
참엔지니어링(주)	NNG
컨버즈(주)	NNG
케이비아이동국실업(주)	NNG
케이씨그린홀딩스(주)	NNG
케이씨코트렐(주)	NNG
케이알모터스(주)	NNG
케이지모빌리티(주)	NNG
케이지케미칼(주)	NNG
케이피엑스케미칼(주)	NNG
케이피엑스홀딩스(주)	NNG
코스맥스비티아이(주)	NNG
코스모신소재(주)	NNG
조일알미늄(주)	NNG
조선선재(주)	NNG
조선내화(주)	NNG
자이에스앤디(주)	NNG
일성신약(주)	NNG
일신방직(주)	NNG
일양약품(주)	NNG
일정실업(주)	NNG
일진다이아몬드(주)	NNG
일진디스플레이(주)	NNG
